processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
BON362-07	NHMO-BC362	573281	NA	NHMO-BI-8545	University of Oslo, Natural History Museum	NA	BOLD:AAC8609	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	52480	Tadorna	52482	Tadorna tadorna	NA	NA	Peter Olsson	NA	Linnaeus, 1758	NA	NA	NA	NA	Peter Olsson	NA	NA	NA	NA	NA	NA	A	NA	NA	NA	NA	NA	NA	NA	56.23	12.77	NA	NA	NA	NA	NA	NA	Sweden	NA	NA	NA	Aengelholm, Sandoen	NA	NA	NA	NA	NA	NA	NA	NA	NA
BONSC029-08	NHMO-BC542	755666	NHMO 11847	NHMO-BI-11777	University of Oslo, Natural History Museum	NA	BOLD:AAC1523	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3211	Aythya	10084	Aythya fuligula	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	NA	NA	NA	NA	NA	NA	63.55	10.2	NA	NA	NA	NA	NA	NA	Norway	Sor-Trondelag	NA	NA	Leinstrand	NA	NA	NA	NA	NA	NA	NA	NA	NA
BOTW199-04	USNM B07299	11978	USNM:622668	B07299	Smithsonian Institution, National Museum of Natural History	NA	BOLD:AAC1523	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3211	Aythya	10083	Aythya marila	NA	NA	NA	NA	Linnaeus, 1761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	<xml><field_number>B07299</field_number><reprod>S</reprod><acronym>USNM</acronym><donator>Carla J. Dove</donator><voucher>Unknown</voucher><tissue>Only sequence submitted</tissue></xml>	NA	NA	NA	NA	NA	NA	NA	NA	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BOTW271-05	USNM 620818	41004	620818	B02896	Smithsonian Institution, National Museum of Natural History	NA	BOLD:AAC1413	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3185	Somateria	19958	Somateria spectabilis	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	NA	NA	NA	NA	B02896	DONATED NATL BIOL. SERV.,  ALASKA SCIENCE CTR., SALVAGE AFTER OIL SPILL.<XML><INT_NUM>50</INT_NUM><INT_CODES>L</INT_CODES><FIELDNUM1>BKS 3027</FIELDNUM1><CONTACT>FLINT, P.</CONTACT></XML>	57.07	-170.17	NA	NA	NA	NA	NA	NA	United States	Alaska	NA	Pribilof Islands	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRDC063-04	1470-10021	6026	NA	1470-10021	Canadian Wildlife Service	NA	BOLD:ACE3916	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3211	Aythya	10082	Aythya valisineria	NA	NA	NA	NA	A. Wilson, 1814	NA	NA	NA	NA	Lesley Howes	NA	NA	NA	NA	NA	NA	A	M	S	NA	NA	NA	Aythya valisineria	NA	51.117	-113.483	NA	NA	NA	NA	NA	NA	Canada	Alberta	Strathmore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRDC103-04	1590-10027	6066	NA	1590-10027	Canadian Wildlife Service	NA	BOLD:AAC1413	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3185	Somateria	17386	Somateria mollissima	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	Lesley Howes	NA	NA	NA	NA	NA	NA	A	M	S	NA	NA	NA	Somateria mollissima	NA	50.217	-97	NA	NA	NA	NA	NA	NA	Canada	New Brunswick	St. Andrews	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRDC140-05	1290 20201	178365	NA	1290 20201	Canadian Wildlife Service	NA	BOLD:AAC0063	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3214	Mergus	10080	Mergus merganser	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	M	NA	NA	NA	NA	Common Merganser	NA	49.19	-122.34	NA	NA	NA	NA	NA	NA	Canada	Alberta	MAPLE RIDGE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRDC168-05	1540 10127	178393	NA	1540 10127	Canadian Wildlife Service	NA	BOLD:AAB6263	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3176	Clangula	10122	Clangula hyemalis	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	M	NA	NA	NA	NA	Long-tailed Duck	NA	45.34	-60.41	NA	NA	NA	NA	NA	NA	Canada	Nova Scotia	L'ARDOISE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BROMB676-07	DOT 10033	548054	NA	PRS 1246	American Museum of Natural History, Ornithology Department	NA	BOLD:AAX6273	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	90148	Nettapus	90149	Nettapus coromandelianus	NA	NA	NA	NA	Gmelin, 1789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BROMB795-07	1B-1632	555906	157848	1B-1632	Royal Ontario Museum	NA	BOLD:AAR5578	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	91319	Cyanochen	91320	Cyanochen cyanoptera	NA	NA	NA	NA	Ruppell, 1845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	NA	S	NA	NA	NA	captive	voucher kind: skeleton	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200167|200168|864894|200169|864895|864896	http://www.boldsystems.org/pics/BROMB/BROMB795-07_0533+1183562322.JPG|http://www.boldsystems.org/pics/BROMB/BROMB795-07_0534+1183562316.JPG|http://www.boldsystems.org/pics/BROMB/BROMB795-07_-_157848B+1283526669.JPG|http://www.boldsystems.org/pics/BROMB/BROMB795-07_0537+1183562308.JPG|http://www.boldsystems.org/pics/BROMB/BROMB795-07_-_157848D+1283526660.JPG|http://www.boldsystems.org/pics/BROMB/BROMB795-07_-_157848LL+1283526704.JPG	Dorsal|Lateral||Dorsal|Dorsal|Lateral (Left)	skull|skull|skeleton|skull|skeleton|skeleton	Erika Tavares	2010	CreativeCommons - Attribution	Royal Ontario Museum	ROM-Ornithology
BROMB954-07	1B-4972	611301	NA	1B-4972	Royal Ontario Museum	NA	BOLD:AAA1228	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3183	Branta	12260	Branta hutchinsii	NA	NA	NA	NA	Richardson, 1832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	F	S	NA	NA	NA	NA	NA	48.4	-89.317	NA	NA	NA	NA	NA	NA	Canada	Ontario	NA	NA	Thunder Bay	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDAMH101-05	AMNH-DOT9887	57579	DOT9887	NA	American Museum of Natural History	NA	BOLD:AAC1413	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3185	Somateria	17385	Somateria fischeri	NA	NA	NA	NA	Brandt, 1847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	NA	PRS1070	<xml><donor>C.Dove</donor><donor_e-mail>DOVEC@SI.EDU</donor_e-mail><collection_code>DOT</collection_code></xml>	69.7	-153.92	NA	NA	NA	NA	NA	NA	United States	Alaska	NA	NA	PRUDHOE BAY	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBAVA032-14	Aves_BFB_Hawlitschek_2014-10-25_0032	5321433	Aves_BFB_Hawlitschek_2014-10-25_0032	Aves_BFB_Hawlitschek_2014-10-25_0032	SNSB, Zoologische Staatssammlung Muenchen	NA	BOLD:AAC7275	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3191	Anser	93229	Anser indicus	NA	NA	Markus Unsoeld	NA	Latham, 1790	NA	NA	Feather	NA	NA	NA	NA	NA	NA	NA	NA	adult	NA	NA	NA	NA	NA	Isar flaucher, May 2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	Germany	Bavaria	NA	NA	Isar flaucher	2511547	http://www.boldsystems.org/pics/FBAVA/Aves_BFB_Hawlitschek_2014-10-25_0032+1420659548.jpg	life picture	wikipedia common source	SNSB, Zoologische Staatssammlung Muenchen	2015	CreativeCommons - Attribution Non-Commercial Share-Alike	SNSB, Zoologische Staatssammlung Muenchen	NA
GBIR1231-08	L22480 L08260	861496	L22480 L08260	NA	Mined from GenBank, NCBI	NA	NA	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3235	Anas	12104	Anas platyrhynchos	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBIR12888-19	MK129191	10808862	personal:Chevonne Reynolds:BAR1581B1	NA	Mined from GenBank, NCBI	NA	BOLD:AAA8100	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3235	Anas	112858	Anas undulata	NA	NA	NA	NA	C. F. Dubois, 1839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-26.58	25.58	NA	NA	NA	NA	NA	NA	South Africa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBIR3566-13	JN703180	3585927	JN703180	JN703180	Mined from GenBank, NCBI	NA	BOLD:AAB5009	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3235	Anas	12142	Anas acuta	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.4024	127.762	Coordinates from country centroid	NA	NA	NA	NA	NA	South Korea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBIR481-07	EF515739	651458	EF515739	NA	Mined from GenBank, NCBI	NA	BOLD:AAD5446	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3205	Cygnus	93209	Cygnus cygnus	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	South Korea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBIR7323-19	KF446137	9762696	NA	NA	Mined from GenBank, NCBI	NA	BOLD:ADW1694	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	112879	Neochen	112880	Neochen jubata	NA	NA	NA	NA	Spix, 1825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.22	-74.68	NA	NA	NA	NA	NA	NA	Colombia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBIR9382-19	KR821135	9766790	NA	NA	Mined from GenBank, NCBI	NA	BOLD:AAD5446	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3205	Cygnus	93209	Cygnus cygnus	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.0733	104.691	Coordinates from country centroid	NA	NA	NA	NA	NA	China	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBNA006-05	1707-55831	77489	NA	1707-55831	Canadian Wildlife Service	NA	BOLD:AAC7275	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3191	Anser	154676	Anser rossii	NA	NA	NA	NA	Cassin, 1861	NA	NA	NA	NA	Michel Gendron	NA	NA	NA	NA	NA	NA	A	M	NA	NA	NA	NA	Ross' Goose	NA	65.0935	-73.7227	NA	NA	NA	NA	NA	NA	Canada	Nunavut	Baffin Island	Dewey Soper	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBNA021-05	1707-38401	77504	NA	1707-38401	Canadian Wildlife Service	NA	BOLD:AAA1228	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3183	Branta	12260	Branta hutchinsii	NA	NA	NA	NA	Richardson, 1832	NA	NA	NA	NA	Michel Gendron	NA	NA	NA	NA	NA	NA	I	M	NA	NA	NA	NA	Breeding Site; Cackling Goose	different broods	66.763	-73.0025	NA	NA	NA	NA	NA	NA	Canada	Nunavut	Baffin Island	Dewey Soper	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBNA028-05	1707-38452	77511	NA	1707-38452	Canadian Wildlife Service	NA	BOLD:AAA1228	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3183	Branta	12260	Branta hutchinsii	NA	NA	NA	NA	Richardson, 1832	NA	NA	NA	NA	Michel Gendron	NA	NA	NA	NA	NA	NA	I	M	NA	NA	NA	NA	Breeding Site; Cackling Goose	different broods	66.7085	-73.1095	NA	NA	NA	NA	NA	NA	Canada	Nunavut	Baffin Island	Dewey Soper	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBNA074-05	0988-15572	77557	NA	0988-15572	Canadian Wildlife Service	NA	BOLD:ACF5624	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3183	Branta	17391	Branta canadensis	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	Michel Gendron	NA	NA	NA	NA	NA	NA	I	M	NA	NA	NA	NA	Breeding Site; Canada Goose	NA	58.8333	-68.8333	NA	NA	NA	NA	NA	NA	Canada	Quebec	near Ungava Bay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBNA088-05	0998-57563	77571	NA	0998-57563	Canadian Wildlife Service	NA	BOLD:ACF5624	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3183	Branta	17391	Branta canadensis	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	Michel Gendron	NA	NA	NA	NA	NA	NA	I	F	NA	NA	NA	NA	Breeding Site; Canada Goose (Giant)	NA	45.6667	-75.8333	NA	NA	NA	NA	NA	NA	Canada	Ontario	Ottawa	Des Chenes Rapids	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBNA101-05	0998-57577	77584	NA	0998-57577	Canadian Wildlife Service	NA	BOLD:ACF5624	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3183	Branta	17391	Branta canadensis	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	Michel Gendron	NA	NA	NA	NA	NA	NA	I	M	NA	NA	NA	NA	Breeding Site; Canada Goose (Giant)	NA	45.6667	-75.8333	NA	NA	NA	NA	NA	NA	Canada	Ontario	Ottawa	Des Chenes Rapids	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBNA1017-07	172120178 2006	629334	NA	172120178 2006	Canadian Wildlife Service	NA	NA	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3183	Branta	12260	Branta hutchinsii	NA	NA	NA	NA	Richardson, 1832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	Harvest survey; Canada Goose	NA	50.4	-100.42	NA	NA	NA	NA	NA	NA	Canada	Manitoba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBNA1020-07	172120192 2005	629337	NA	172120192 2005	Canadian Wildlife Service	NA	NA	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3183	Branta	12260	Branta hutchinsii	NA	NA	NA	NA	Richardson, 1832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	NA	NA	NA	NA	NA	Harvest survey; Canada Goose	NA	51.58	-111.36	NA	NA	NA	NA	NA	NA	Canada	Manitoba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBNA1027-07	172120205 2006	629344	NA	172120205 2006	Canadian Wildlife Service	NA	NA	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3183	Branta	12260	Branta hutchinsii	NA	NA	NA	NA	Richardson, 1832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	Harvest survey; Canada Goose	NA	50.12	-98.17	NA	NA	NA	NA	NA	NA	Canada	Manitoba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBNA108-05	0998-57584	77591	NA	0998-57584	Canadian Wildlife Service	NA	BOLD:ACF5624	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3183	Branta	17391	Branta canadensis	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	Michel Gendron	NA	NA	NA	NA	NA	NA	I	M	NA	NA	NA	NA	Breeding Site; Canada Goose (Giant)	NA	45.6667	-75.8333	NA	NA	NA	NA	NA	NA	Canada	Ontario	Ottawa	Des Chenes Rapids	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBNA1118-07	172110753	629435	NA	172110753	Canadian Wildlife Service	NA	NA	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3183	Branta	12260	Branta hutchinsii	NA	NA	NA	NA	Richardson, 1832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	Harvest survey; Cackling Goose	NA	50.52	-102.44	NA	NA	NA	NA	NA	NA	Canada	Saskatchewan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBNA1127-07	172120009 2005	629444	NA	172120009 2005	Canadian Wildlife Service	NA	NA	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3183	Branta	12260	Branta hutchinsii	NA	NA	NA	NA	Richardson, 1832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	NA	NA	NA	NA	NA	Harvest survey; Canada Goose	NA	52.43	-106.37	NA	NA	NA	NA	NA	NA	Canada	Saskatchewan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBNA1146-07	172120095 2006	629463	NA	172120095 2006	Canadian Wildlife Service	NA	NA	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3183	Branta	12260	Branta hutchinsii	NA	NA	NA	NA	Richardson, 1832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	NA	NA	NA	NA	NA	Harvest survey; Canada Goose	NA	50.42	-101.55	NA	NA	NA	NA	NA	NA	Canada	Saskatchewan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBNA1187-07	172120290 2004	629504	NA	172120290 2004	Canadian Wildlife Service	NA	NA	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3183	Branta	12260	Branta hutchinsii	NA	NA	NA	NA	Richardson, 1832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	Harvest survey; Canada Goose	NA	50.55	-102.3	NA	NA	NA	NA	NA	NA	Canada	Saskatchewan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBNA1290-07	172221705 2004	629607	NA	172221705 2004	Canadian Wildlife Service	NA	NA	18	Chordata	51	Aves	305	Anseriformes	1436	Anatidae	NA	NA	3183	Branta	17391	Branta canadensis	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	NA	NA	NA	NA	NA	Harvest survey; Canada Goose	NA	52.26	-103.58	NA	NA	NA	NA	NA	NA	Canada	Saskatchewan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
